CÓDIGO DO RISCO,DESCRIÇÃO DO RISCO,CATEGORIA DO RISCO,NÍVEL DO RISCO,CLASSIFICAÇÃO DO RISCO,O QUE,QUEM,ONDE,POR QUE,COMO,INÍCIO,FIM,QUANTO,SITUAÇÃO,PERCETUAL DE EXECUÇÃO,OBSERVAÇÕES,UG,Situação Geral,Número de Ações,Quantidade de Eventos de Riscos
R.UGEPV.01,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,ALTO,INERENTE,Monitorar a satisfação de cada entrega,UGEPV,MTI,Para termos uma métrica de nossas entregas e melhorar o status de nossa imagem com os clientes,"Ouvindo o cliente conforme cada entrega que fazemos , encaminhando pesquisas de satisfação ",45659,46022,Fechamentos mensais,,,"Essa pesquisa não estava a cargo de nossa unidade contudo a partir de 20/02/2025 ficou a nosso cargo, estamos preparando os envios.",,,,
R.UGEPV.02,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,MODERADO,INERENTE,Utilizar nossa ferramenta tecnologica visando criar um Health Score e estudar os pontos de atenção para abordamos com o cliente,UGEPV,MTI,"Nos antecipar a situações que podem elevar sua taxa de churn . Além disso, mensurar a saúde do cliente é essencial para aumentar a fidelização de clientes",Utilizando nossa ferramenta de CRM integrado,45659,46022,Fechamentos mensais,,,Estamos em vias de fato para o fechamento da solução.,,,,
R.UGEPV.03,Insatisfação do Cliente Devido à Qualidade dos Serviços,Estratégico,ALTO,INERENTE,Monitorar a jornada do cliente de acordo com as fases em que o mesmo se encontra,UGEPV,MTI,"Entendemos que em muitas entregas o cliente não entendem o valor que recebeu, noss atividade sera dar transparencia ao cliente",Acompanhando diretamente cada passo das entregas.,45659,45657,Fechamentos mensais,,,,,,,
R.UGEPV.04,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,ALTO,INERENTE,"Monitorar as entregas realizadas pela equipe técnica junto com o cliente, definindo quem faz o que, dentro do fluxo",UGEPV,MTI,"Entendemos que em muitas entregas o cliente não entendem o valor que recebeu, noss atividade sera dar transparencia ao cliente",Acompanhando diretamente cada passo das entregas.,45659,46022,Fechamentos mensais,,,,,,,
R.UGEPV.05,Insatisfação do Cliente Devido à Qualidade dos Serviços,Estratégico,ALTO,INERENTE,Realizar mais agendas de homologação junto ao cliente,UGEPV,MTI,"Entendemos que em muitas entregas o cliente não entendem o valor que recebeu, noss atividade sera dar transparencia ao cliente",Acompanhando diretamente cada passo das entregas.,45659,46022,Fechamentos mensais,,,,,,,
R.UGEPV.06,Insatisfação do Cliente Devido à Qualidade dos Serviços ,Estratégico,ALTO,INERENTE,Monitorar equipe técnica interna (DTIC e Parceiro) e clientes visando remover impedimentos,UGEPV,MTI,Para traduzir em linguagem simples o que esta sendo entregue,Monitorando/acompanhando o atendimento,45659,46022,Fechamentos mensais,,,,,,,
R.UGEPV.07,Insatisfação do cliente com o serviço adquirido.,Operacional,ALTO,RESIDUAL,"1. Entrega deficitária
2. Entrega fora do prazo acordado;
3. Falta de atendimento em tempo hábil",todas as equipes ,MTI,O acordo entabulado com o cliente deve ser rigorosamente cumprido emtodos os seus termos,"Acompanhar o cliente em todo processo desde a compra até a entrega do produto, cada equipe seguindo seu processo na cadeia comercial, proporcionando ao cliente a segurança e satisfação pretendida. ",45292,45657,,,,"Aumentamos o numero de visitas aos clientes com o intuito de ouvi-los tanto em relação a necessidades do dia a dia, quanto nas necessidades futuras, a expectativa é que essas interações traga ao cliente mais confiança em nossos consultores e principalmente os tenham como um ponto focal para relatos de problemas e novas oportunidades",,,,
R.UGEPV.08,Atrasos na entrega de serviços .,Operacional,ALTO,INERENTE,cumprimento de prazos,todas as equipes ,MTI,A pontualidade é um fator primordial que vai ser o grande divisor entre atrair ou afastar o cliente.,Identificar onde estão os pontos que acarretam nos atrasos das entregas e sanar ou miticar tais pontos ,45292,45657,,,,"Para essa atividade estamos estreitando a comunicação entre a equipe de Fabrica, projetos e comercial, desta forma conseguiremos estar junto ""just in time"" na entregas e conforme reuniões semanais o andamento das entregas visando assim uma entrega a contento para o cliente.",,,,
R.UGEPV.09,Dificuldades na utilização do produto/serviços por parte do cliente.,Operacional,ALTO,,"Orientação, treinamento, informação.",todas as equipes ,MTI,se o Cliente não sabe ou não consegue utilizar o produto adquirido na sua totalidade e/ou da forma correta esse produto se torna sem valor.,Orientar o cliente quanto a  eventuais dificuldades que o cliente possa ter na utilização adequada do produto.,45292,45657,,,,"Estamos entendendo os processos, bem como os produtos, para dessa forma consguirmos ajudar nossos clientes em suas necessidades/duvidas, contudo apesar de não dominarmos em sua totalidade as ferramentas, sempre conseguimos alinhar com os parceiros capacitações / overview's para sanarem duvidas existentes.",,,,
R.UGEPV.10,Falta de suporte pós-venda adequado.,Operacional,ALTO,,canais de relacionamento,UGEPV,MTI,"A equipe de pós venda deve estar sempre em contato com o cliente, sanando dúvidas, ouvindo as dificuldades que ele venda a ter, anseios dos clientes, identificando os pontos de atenção e buscar sanar ou mitigar juntos os gestores.",Criar e manter canais de relacionamento com o cliente.,45292,45657,,,,"Aumentamos o numero de visitas aos clientes com o intuito de ouvi-los tanto em relação a necessidades do dia a dia, quanto nas necessidades futuras, a expectativa é que essas interações traga ao cliente mais confiança em nossos consultores e principalmente os tenham como um ponto focal para relatos de problemas e novas oportunidades",,,,
R.UGEPV.11,Dificuldades na resolução de problemas ou reclamações dos clientes.,,ALTO,,Suporte dos Gestores Diretores,todas as equipes,MTI,"O cliente é o centro do negócio, sem ele, a empresa não tem razão de existir, de modo que, a prioridade é que o cliente utilize nossos produtos sem qualquer intercorrência, e quando houver que seja sanado no menor tempo possível.","Oferecer suporte para apoiar o cliente direcionando para o atendimento adequado, no entanto, quando não for possível essa resolução, é de suma importância acionar os Gestores Diretores para dirimir demandas de alçada maior.",45292,45657,,,,"Hoje os clientes utilizam a plataforma service now, ainda estamos em fase inicial contudo, pela relação que estamos construindo com os clientes os mesmos nos acionam quando necessario visando celeridade em um ponto ou outro que precisam de maior agilidade;",,,,
R.UGEPV.12,Falta de comunicação e acompanhamento eficaz com o cliente após a venda.,,MODERADO,,Acompanhamento dos projetos,todas as equipes,MTI,è importante que o cliente tenha plena transparencia dos produtos adquiridos e entregues,Acompanhar de forma macro a entrega dos produtos.,45292,45657,,,,"Estamos antenados com os acompanhamentos dos projetos e em sua grande maioria acompanhamos as reuniões semanais de entrega juntamente com o cliente, a idéia é que dentro dessa iteração consigamos entender se o que foi entregue esta a contento.",,,,
DAFI,,,,,,,,,,,,,,,,,,,
R.UGACO.01,Risco de Resistência à Mudança ,Estratégico,MODERADO,INERENTE,Implementar o uso de IA na formalização de Minuta de Editais e Contratos,UGACO,MTI,Iniciar o uso de IA na formalização de documentos licitatórios,Apartir de Treinamento e capacitação da Ferramenta de IA adotada pela MTI,45809,46022,a definir,,,Depende da aquisição/padronização da IA a ser utilizada          - Normatização do uso da IA na MTI,,,,
R.UGACO.02,Desmotivação dos colaboradores,Estratégico,MODERADO,RESIDUAL,Capacitar as Equipes quanto a legislação vigente de Aquisições e Contratos - GAQS,GAQS,MTI,Manter atualizado os conhecimentos em legislações aplicadas a area de Licitações,Contratando cursos especificos na area de Licitações,45658,46022,a definir,,,Reinterado pedido de capacitação junto a SEPLAG quanto ao SIAG modulos compras. Será realizado Capacitação para a gerente quanto as normas e lei 13.303,,,,
R.UGACO.03,Desmotivação dos colaboradores,Estratégico,MODERADO,RESIDUAL,Capacitar as Equipes quanto a legislação vigente de Aquisições e Contratos - GCTO,GCTO,MTI,Manter atualizado os conhecimentos em legislações aplicadas a area de Contratos,Contratando cursos especificos na area de Contratos,45658,46022,a definir,,,"20% Curso de capacitação no Siag modulo contratos, executado pela GCTO",,,,
R.UGACO.04,Atraso nos prazos previstos para a conclusão das aquisições,Operacional,ALTO,RESIDUAL,Instrução correta dos processos,GCTO E GAQS,MTI,Para que os processos não retorne por diversas vezes as unidades demandantes para correção,1 - Elaboração do Check List dos documentos necessários para instrução e mapeamento do processo                                                                                   ,45658,46022,00,EM ANDAMENTO,"70,00%",,,,,
R.UGACO.05,processos iniciados sem previsão orcamentária (PTA),Operacional,CRÍTICO,RESIDUAL,"Cumprimento das Legislações (LRF, Decreto 1.525/2022/, RLC...",UGACO,MTI,A unidade demandante deve saber se o produto ou o serviço a ser adquirido foi incluido no PTA e se existe orçamento para a aquisição,1 - Disparar CI com a informação e encaminhar às areas,45658,46022,00,EM ANDAMENTO,"30,00%",,,,,
R.UGACO.06,Prorrogações contratuais realizadas com o prazo exíguo ou correndo risco de perder o prazo para prorrogação,Operacional,MODERADO,RESIDUAL,Evitar a perda do contrato por desídia,UGACO,MTI,Perda das prorrogações dos contratos geram demandas novas com custos elevados e tempo para conclusão,"1 -  A GCTO comunicará mensalmente (12 meses antes de vencer )  as areas demandantes sobre os vencimentos dos contratos e o check list com os documentos necessários para as  prorrogações, via SIGADOC.                                                                           2. 06 Meses antes do vencimento dos contratos , a GCTO intensifica o contato com area para alertar sobre os vencimentos dos contratos, via SIGADOC e  caso não seja respondidoo prazo máximo de 60dias do vencimento , então realiza o item 3.                                                                                 .                       3 Cobranças semanais das Unidades com cópia para os Chefes imediatos e Presidência para o cumprimento da demanda no prazo, realizadas por e-mail ou CI",45658,46022,00,EM ANDAMENTO,"20,00%",,,,,
R.UGACO.07,Realizar contratações emergenciais,Operacional,MODERADO,RESIDUAL,Evitar a perda dos contratos que devem ser prorrogados e planejar as aquisições em tempo hábil,UGACO,MTI,Contratos emergenciais devem ser realizados somente em casos estritamente necessários e com justificativa plausível,1 - Demandar CI para as Unidades com as recomendações.,45658,46022,00,EM ANDAMENTO,"20,00%",,,,,
R.UGACO.08,Fiscalização contratal ineficiente,Operacional,ALTO,RESIDUAL,Evitar que os contratos sejam mal fiscalizados,GCTO,MTI,"As contratações devem ser monitoradas e acompanhadas, visando a entrega de um excelente serviço ou produto",1 - Curso de Capacitação em fiscalização de contratos (encaminhado e-mail para os responsáveis para arealização do curso que foi disponibilizado gratuitamente)                                                                                                            2 - Elaborar cartilha juntamente a UNISECI m para orientações.                                                                                                                                                                                                                                                                                                                                                                                      3.Portaria com após a publicação do novo RLC. ,45658,45657,00,CONCLUÍDA,"100,00%",,,,,
R.UGACO.09,"Receber, para si ou para outrem, vantagem(econômica ou não), direta ou indireta, por ação ou omissão decorrente das atribuições do Agente Público",Operacional,CRÍTICO,RESIDUAL,Receber vantagens financeiras,UGACO,MTI,"Evitar qualquer Infração Penal prevista em lei, com sanções administrativas e Penais.","1 - Atuar conforme principios da Legalidade, Imparcialidade, Moralidade, Publicidade e Ética",45658,46022,00,EM ANDAMENTO,"20,00%",,,,,
R.UGPES.01,Risco de Resistência à Mudança ,Estratégico,CRÍTICO,INERENTE,Estabelecer um plano de comunicação claro e transparente para informar sobre as mudanças e seus benefícios,Silvia ,MTI,"Para garantir que os colaboradores compreendam os motivos, benefícios e impactos da mudança, minimizando a resistência e incentivando a adesão.","Criar um plano de comunicação com etapas definidas, incluindo cronograma, canais de comunicação, público-alvo e mensagens-chave. Utilizar diferentes canais de comunicação (e-mail, intranet, reuniões) para alcançar todos os colaboradores. Monitorar a efetividade do plano e realizar ajustes quando necessário.",01/01/2025,31/12/2025,,EM ANDAMENTO,"1,00%","A Unidade de Gestão de Pessoas está elaborando um plano de comunicação claro e transparente, com o objetivo de informar todos os colaboradores sobre as mudanças institucionais, seus benefícios e possíveis impactos. A iniciativa busca promover entendimento, reduzir resistências e fortalecer o engajamento e a conformidade com as novas diretrizes organizacionais.
A comunicação será conduzida de forma objetiva e acessível, por meio dos seguintes canais:
E-mail corporativo, Intranet, Reuniões presenciais e virtuais, Murais informativos, Materiais impressos e digitais
PLANO DE COMUNICAÇÃO BENEFICIOS.docx

",,,,
R.UGPES.02,Risco de Resistência à Mudança ,Estratégico,CRÍTICO,INERENTE,Liderança engajada - através do programa de gestão por competência,Silvia ,MTI,"Para garantir o apoio e o comprometimento da liderança com a mudança, influenciando positivamente a equipe e incentivando a adesão.","Desenvolver um programa de gestão por competências que incentive o desenvolvimento de habilidades de liderança, comunicação e gestão de mudanças. Realizar workshops e treinamentos com a liderança para fortalecer o engajamento e o compromisso com a mudança.",01/01/2025,31/12/2025,,EM ANDAMENTO,"1,00%","Execução dos Planos de Desenvolvimento Individual (PDIs) – 2025
Para 2025 – Divulgamos por meio dos canais oficiais de comunicação da MTI que os Planos de Desenvolvimento Individual (PDIs) devem ser elaborados com base na avaliação de desempenho realizada em 2023. Os PDIs deverão contemplar os gaps identificados que ainda não foram objeto de capacitação ou ação, tanto por parte dos gestores quanto dos colaboradores. Até o momento, a elaboração dos PDIs está sendo conduzida pelos gestores.

JANEIRO/2025
Atualmente, 194 servidores ainda estão sem PDI.

FEVEREIRO/2025 
Atualmente, 194 servidores ainda estão sem PDI.

MARÇO 2025
Atualmente, 194 servidores ainda estão sem PDI.

ABRIL 2025

Do Montante de 194 Servidores avaliados no Programa Gestão Por Competências 2023/2024:

184 Servidores estão sem PDI

10 Servidores estão com os PDIs Elaborados
00 Servidores com os PDIs com iniciativas atrasadas
01 Servidores com os PDIs em andamento e
00 Servidores com os PDIs concluídos de janeiro a março (acumulado)

PDIs concluídos no mês 04/2025 = 0 colaborador


",,,,
R.UGPES.03,Desmotivação dos colaboradores  ,Estratégico,CRÍTICO,INERENTE,Implementar a Gestão por competência,Silvia ,MTI,"Para aumentar a motivação e o engajamento dos colaboradores, reconhecendo e recompensando o bom desempenho e oferecendo oportunidades de desenvolvimento.","Definir as competências essenciais para cada cargo, implementar um sistema de avaliação justo e transparente, oferecer feedback e reconhecimento, criar oportunidades de desenvolvimento e alinhar as recompensas às competências.",01/01/2025,31/12/2025,,EM ANDAMENTO,"1,00%","Execução dos Planos de Desenvolvimento Individual (PDIs) – 2025
Para 2025 – Divulgamos por meio dos canais oficiais de comunicação da MTI que os Planos de Desenvolvimento Individual (PDIs) devem ser elaborados com base na avaliação de desempenho realizada em 2023. Os PDIs deverão contemplar os gaps identificados que ainda não foram objeto de capacitação ou ação, tanto por parte dos gestores quanto dos colaboradores. Até o momento, a elaboração dos PDIs está sendo conduzida pelos gestores.

JANEIRO/2025
Atualmente, 194 servidores ainda estão sem PDI.

FEVEREIRO/2025 
Atualmente, 194 servidores ainda estão sem PDI.

MARÇO 2025
Atualmente, 194 servidores ainda estão sem PDI.

ABRIL 2025

Do Montante de 194 Servidores avaliados no Programa Gestão Por Competências 2023/2024:

184 Servidores estão sem PDI

10 Servidores estão com os PDIs Elaborados
00 Servidores com os PDIs com iniciativas atrasadas
01 Servidores com os PDIs em andamento e
00 Servidores com os PDIs concluídos de janeiro a março (acumulado)

PDIs concluídos no mês 04/2025 = 0 colaborador
",,,,
R.UGPES.04,"Não propor a  implantação da Politica de Gestão
 de Pessoas, bem como a avaliação periódica da 
política e do regimento de gestão de pessoas",Operacional,ALTO,RESIDUAL,Elaborar a Politica de Gestão de Pessoas,Silvia ,MTI,"Para estabelecer diretrizes claras para a gestão de pessoas, promovendo a consistência, a justiça e a conformidade legal, além de atrair e reter talentos.","Realizar uma análise das necessidades da empresa, envolver os stakeholders, definir diretrizes e procedimentos, comunicar a política, fornecer treinamento e revisar/atualizar a política periodicamente.",01/03/2024,31/12/2025,,EM ANDAMENTO,"80,00%"," MINUTA DA POLITICA DE GESTÃO DE PESSOAS A comissão elaborou a minuta do documento, vinculada ao Processo MTI-PRO-2025/01218 (datado de 17/04/2025). Atualmente, a minuta encontra-se em análise na UNIJUR, sob a responsabilidade da servidora Ana Fischer.",,,,
R.UGPES.05,Não executar o Plano Anual de Capacitação ,Operacional,MODERADO,INERENTE,Executar o Plano de Capacitação relativo ao ano de 2024,Ana Flávia,MTI,Para cumprir o indicador estratégico (PDI) e desenvolver as competências dos colaboradores.,"Elaborar e executar o Plano de Capacitação 2025, incluindo treinamentos, workshops e outras atividades de desenvolvimento.",01/01/2025,31/12/2025,,EM ANDAMENTO,"4,30%","REGULAMENTO DE CAPACITAÇÃO E PLANO DE CAPACITAÇÃO

Aprovado em DIREX e publciado na INTRANET


PLANO DE CAPACITAÇÃO 2024
Com o objetivo de ampliar o acesso dos servidores aos cursos oferecidos e otimizar a contratação de fornecedores externos, a Diretoria Executiva (DIREX) realizou, em 18 de fevereiro de 2025, uma reunião para discutir e aprovar o Plano de Capacitação 2025.
Nessa ocasião, foi deliberada a contratação da plataforma RALEDUC, que disponibilizará cursos on-line aos colaboradores lotados na sede da MTI. A escolha considerou a diversidade de conteúdos e a flexibilidade no acesso, fatores que possibilitam a conciliação entre capacitação e atividades laborais.
Para viabilizar a contratação, o Diretor-Presidente solicitou uma reunião com representantes da plataforma para negociação de valores e definição de faixas de desconto, assegurando condições vantajosas para a empresa.

Negociação com a RALEDUC – 19 de fevereiro de 2025
Durante a reunião, foram definidos os seguintes valores anuais por licença, de acordo com a quantidade contratada:
25 a 50 licenças: R$ 2.300,44 por licença;
51 a 100 licenças: R$ 2.198,86 por licença;
101 a 149 licenças: R$ 2.070,40 por licença;
150 a 224 licenças: R$ 1.955,38 por licença;
225 a 299 licenças: R$ 1.840,35 por licença.
A contratação da RALEDUC, juntamente com a aprovação do Plano de Capacitação 2025, foi validada em nova reunião da DIREX, realizada em 16 de março de 2025. O contrato abrangerá 234 servidores, incluindo efetivos, cargos em comissão e empregados cedidos.
Realizamos a Elaboração do Termo de Referência (TR) para contratação da plataforma; e redigimos a minuta da  Instrução Normativa conjunta entre a UNIJUR e a GADP, com diretrizes claras sobre:
Quantidade mínima de cursos;
Carga horária mínima exigida (100 horas);
Outros critérios necessários à regulamentação.
O  Processo MTI-PRO-2025/01155, datado de 09/04/2025, encontra-se em análise pela UNIJUR, com prazo estimado de conclusão até 09/05/2025.

EXECUÇÃO DO PLANO DE CAPACITAÇÃO – 2025
JANEIRO 2025

Não houve programação de capacitação no mês de janeiro, tendo em vista que o Plano de Capacitação 2025 encontrava-se em fase de aprovação.
FEVEREIRO 2025

Não houve programação de capacitação no mês de fevereiro, tendo em vista que o Plano de Capacitação 2025 permanecia em fase de aprovação.
MARÇO 2025

Não houve programação de capacitação no mês de março, uma vez que o Plano de Capacitação 2025 ainda estava em processo de aprovação.

ABRIL 2025
No mês de abril, estavam previstos 11 (onze) cursos no Plano de Capacitação 2025. Destes:
10 (dez) foram executados com investimento financeiro por parte da MTI, representando 66,67% da meta prevista;
01 (um) curso foi realizado sem custos para a empresa, correspondendo aos 33,33% restantes.

Dessa forma, foi alcançada 100% da execução das ações de capacitação previstas para o mês de abril.
Capacitações realizadas em abril:
Participação no Congresso Sul-Americano de Gestão de Pessoas;
Capacitação em Gestão de Contratos;
Treinamento técnico na ferramenta Zabbix (sem custo para a empresa).

",,,,
R.UGPES.06,Não realizar a Pesquisa de Clima,Operacional,MODERADO,INERENTE,Realizar a Pesquisa de Clima,Ana Flávia,MTI,Para cumprir o Regulamento de Pesquisa de Clima e obter informações sobre o ambiente de trabalho.,"Definir o questionário, cadastrar no sistema ELOFY, aplicar a pesquisa, apurar os resultados e publicar na Intranet.",01/01/2025,31/12/2025,,EM ANDAMENTO,"30,00%","Em 2024, foram realizadas duas pesquisas de Clima Organizacional nos meses de maio e novembro, cujos resultados estão disponíveis na INTRANET: 

LINK: https://intranet.mti.mt.gov.br/clima-organizacional

Para 2025, está prevista a realização de uma única pesquisa, no mês de maio, com o objetivo de mensurar o nível de satisfação dos colaboradores da MTI. A proposta é consolidar essa pesquisa como um processo anual, sempre no mês de maio, abordando temas relevantes para a organização. Dessa forma, no segundo semestre, será possível desenvolver estratégias para a implementação de melhorias a serem aplicadas no ano seguinte (2026).

A meta estabelecida é alcançar um índice de satisfação de 75% entre os colaboradores, conforme previsto no PLANO ESTRATÉGICO -  MTI, publicado na INTRANET link: https://intranet.mti.mt.gov.br/plano-estrategico",,,,
R.UGPES.07,Não realizar o programa de Qualidade de Vida,Operacional,MODERADO,INERENTE,Executar o programa de qualidade de vida,Ana Flávia,MTI,"Para promover a saúde e o bem-estar dos colaboradores, melhorando a qualidade de vida no trabalho.","Executar as ações que estão elencadas no Programa de Qualidade de Vida, como atividades físicas, palestras sobre saúde mental, campanhas de conscientização, etc.",01/01/2025,31/12/2025,,EM ANDAMENTO,"26,00%","EXECUÇÃO DO PROGRAMA DE QUALIDADE DE VIDA 2025

Ações Previstas 90  / Ações Realizadas 23 / 26%


JANEIRO
01 - Realização da palestra Janeiro Branco, com foco na conscientização sobre saúde mental e física.
01 -  Evento de bioimpedância promovido pela SEPLAG.
04  - Encontros realizados no Momento de Espiritualidade.
14 - Encontros Ginástica Laboral
01 - Atendimento Assistente Social
11- Atendimento Psicólogo

FEVEREIRO
02 eventos de bioimpedância, sendo um realizado pela SEPLAG e outro pela MT Saúde, com aferição de pressão arterial e teste glicêmico.
04  - Encontros realizados no Momento de Espiritualidade.
12 - Encontros Ginástica Laboral
01 - Atendimento Assistente Social
11- Atendimento Psicólogo

MARCO
02 eventos de bioimpedância, sendo um promovido pela SEPLAG e outro pela MT Saúde, incluindo aferição de pressão arterial e teste glicêmico.
04  - Encontros realizados no Momento de Espiritualidade.
11 - Encontros Ginástica Laboral
03- Atendimento Assistente Social
10 - Atendimento Psicólogo

ABRIL
01 evento de bioimpedância promovido pela SEPLAG.
04 encontro realizado no Momento de Espiritualidade.
01 - Realização da Ação de Páscoa Solidária, com a entrega de 100 caixas de bombons para crianças com Transtorno do Espectro Autista (TEA).
04  - Encontros realizados no Momento de Espiritualidade.
10 - Encontros Ginástica Laboral
01 - Atendimento Assistente Social
12 - Atendimento Psicólogo
",,,,
R.UGPES.08,Não gerenciar ponto eletrônico e realizar debidos indevidos;,Conformidade,ALTO,INERENTE,"Implementar Políticas Claras de Controle de Ponto: Estabelecer políticas claras e procedimentos para o registro e controle do ponto eletrônico, definindo regras específicas para horas de trabalho, intervalos e horas extras.

Automatizar o Registro de Ponto: Utilizar sistemas automatizados de registro de ponto eletrônico que garantam a precisão e integridade dos dados, minimizando a possibilidade de erros humanos.

Monitorar e Revisar Regularmente os Registros de Ponto: Realizar auditorias periódicas nos registros de ponto para identificar e corrigir possíveis discrepâncias ou irregularidades, garantindo a conformidade com as políticas estabelecidas.

Fornecer Treinamento e Conscientização: Capacitar os funcionários e gestores sobre as políticas e procedimentos de registro de ponto, destacando a importância da precisão e integridade dos registros para evitar descontos indevidos.

Implementar Controles de Aprovação: Estabelecer um processo de revisão e aprovação dos registros de ponto por parte dos gestores, garantindo que qualquer alteração ou desconto seja justificado e autorizado adequadamente.",Rogério,MTI,"Para reduzir o descontentamento dos funcionários, evitar riscos legais e trabalhistas e melhorar a reputação da empresa.","Realizando a Gestão de Ponto via sistemas Protheus e
Estabelecer políticas claras, automatizar o registro, monitorar os registros, fornecer treinamento e implementar controles de aprovação.",01/01/2025,31/12/2025,,EM ANDAMENTO,"33,33%","
GESTÃO DE PONTO
Conforme estabelecido na Portaria 2023/2024, foram realizados acompanhamentos e notificações relacionadas ao controle de ponto dos(as) colaboradores(as). Abaixo, apresentamos o relatório mensal contendo os registros de faltas descontadas e notificações registradas via SIGADOC, conforme os processos encaminhados e arquivados na pasta da GPMM.

JANEIRO/2025
No mês de janeiro, não houve notificações registradas e não foram aplicados descontos por faltas.

FEVEREIRO/2025
No mês de fevereiro, foram registradas 41 (quarenta e uma) notificações, motivadas por: inconsistências nos batimentos de ponto, ausência de justificativas, falta de abono por parte dos gerentes, e descumprimento do horário previsto na portaria, entre outros.
Cabe ressaltar que nem todas as faltas foram descontadas, uma vez que, em alguns casos, os(as) gerentes solicitaram a não aplicação do desconto, conforme documentos arquivados na pasta da GPMM. No total, foram aplicados 08 (oito) descontos por faltas, conforme detalhado:
DAFI – Diretoria Administrativa
Faltas descontadas: 02
Notificações registradas via SIGADOC: 29


DIRC – Diretoria de Relacionamento com o Cliente
Faltas descontadas: 00
Notificações registradas via SIGADOC: 04


GADP – Gabinete da Diretoria-Presidente
Faltas descontadas: 00
Notificações registradas via SIGADOC: 08


DTIC – Diretoria de Tecnologia da Informação e Comunicação
Faltas descontadas: 06
Notificações registradas via SIGADOC: 00


MARÇO/2025
Em março, foram registradas 15 (quinze) notificações pelos mesmos motivos relatados anteriormente. Assim como nos meses anteriores, algumas faltas não foram descontadas por solicitação das respectivas gerências. No total, foram contabilizadas 07 (sete) faltas com desconto:
DAFI – Diretoria Administrativa
Faltas descontadas: 02
Notificações registradas via SIGADOC: 06


DIRC – Diretoria de Relacionamento com o Cliente
Faltas descontadas: 00
Notificações registradas via SIGADOC: 01


GADP – Gabinete da Diretoria-Presidente
Faltas descontadas: 00
Notificações registradas via SIGADOC: 01


DTIC – Diretoria de Tecnologia da Informação e Comunicação
Faltas descontadas: 05
Notificações registradas via SIGADOC: 07


ABRIL/2025 - SÓ FECHA NA PROXIMA SEMANA
No mês de abril, foram registradas [xx] notificações, motivadas por inconsistências em batimentos de ponto, ausência de justificativas, falta de abono pelos gerentes e descumprimento de horários. Assim como nos demais meses, nem todas as faltas foram descontadas em razão de solicitações gerenciais registradas nos processos arquivados na pasta da GPMM.
Faltas descontadas: [xx]
Notificações registradas via SIGADOC: [xx]



",,,,
R.UGPES.09,Não Monitorar a privacidade de dados,Conformidade,ALTO,INERENTE,"Desenvolver Políticas de Privacidade de Dados Específicas: Criar políticas de privacidade de dados específicas para a Unidade de Gestão de Pessoas, abordando como os dados dos funcionários são coletados, armazenados, processados e protegidos.


Fornecer Treinamento Específico em Privacidade de Dados: Oferecer treinamento especializado em privacidade de dados para os funcionários da Unidade de Gestão de Pessoas, destacando a importância da proteção dos dados dos funcionários e os procedimentos corretos para lidar com informações confidenciais.


Implementar Controles de Acesso e Autorização: Estabelecer controles rigorosos de acesso e autorização para garantir que apenas funcionários autorizados tenham acesso aos dados pessoais dos funcionários, de acordo com as necessidades de trabalho.


Realizar Avaliações de Impacto de Privacidade de Dados: Conduzir avaliações de impacto de privacidade de dados para identificar e avaliar os riscos associados ao processamento de dados pessoais na Unidade de Gestão de Pessoas e implementar medidas de mitigação apropriadas.


Monitorar o Cumprimento da LGPD: Monitorar regularmente o cumprimento das disposições da LGPD e outras regulamentações relevantes de proteção de dados na Unidade de Gestão de Pessoas, garantindo conformidade com as leis e regulamentos aplicáveis.",Rogério,MTI,"Essas medidas visam criar um ambiente seguro e confiável para o tratamento dos dados pessoais dos funcionários na Unidade de Gestão de Pessoas, minimizando os riscos de violações de privacidade ou não conformidade com regulamentações de proteção de dados.","Designar um profissional de privacidade de dados na Unidade de Gestão de Pessoas para liderar as iniciativas relacionadas à proteção de dados dos funcionários.
Estabelecer procedimentos claros para garantir a segurança e confidencialidade dos dados dos funcionários, incluindo a utilização de medidas técnicas e organizacionais apropriadas.
Manter registros detalhados das atividades de processamento de dados dos funcionários e garantir a transparência no tratamento desses dados.
Implementar políticas de retenção de dados para garantir que os dados dos funcionários sejam armazenados apenas pelo tempo necessário e de acordo com as obrigações legais e regulatórias.
Ao adotar essas medidas de mitigação, a Unidade de Gestão de Pessoas pode reduzir significativamente os riscos associados à falta de monitoramento da privacidade de dados dos funcionários e garantir a proteção adequada das informações confidenciais.",01/01/2025,31/12/2025,,EM ANDAMENTO,"50,00%","Elaboração de documentos como contratos de trabalho, aditivos contratuais, termos de proteção de dados e termos de sigilo, em conjunto com o Comitê da LGPD, a UNICRS e a UGPES. Esses documentos visam estabelecer regras claras para a gestão de dados pessoais utilizados nas relações com diversos perfis de colaboradores da MTI, incluindo: empregados efetivos, exclusivamente comissionados, estatutários cedidos (com ou sem cargo), jovens aprendizes, residentes técnicos, estagiários de graduação e pós-graduação, contratados por tempo determinado e profissionais terceirizados.
",,,,
